# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
323	0	54458
324	0	54376
325	0	54376
326	0	54327
327	0	54387
328	0	54305
329	0	54283
330	0	54258
331	0	54325
332	0	54318
333	0	54233
334	0	54101
335	0	54090
336	0	53986
337	0	53952
338	0	54003
339	0	54122
340	0	54091
341	0	54087
342	0	54128
343	0	54093
344	0	54131
345	0	53977
346	0	53998
347	0	54130
348	0	54169
349	0	54154
350	0	54332
351	0	54482
352	0	54579
353	0	54613
354	0	54712
355	0	54699
356	0	54753
357	0	54802
358	0	54781
359	0	54683
360	0	54736
361	0	54843
362	0	54870
363	0	54792
364	0	54706
365	0	54670
366	0	54755
367	0	54774
368	0	54749
369	0	54784
370	0	54885
371	0	54930
372	0	54931
373	0	54947
374	0	54879
375	0	54827
376	0	54686
377	0	54765
378	0	54732
379	0	54679
380	0	54653
381	0	54663
382	0	54571
383	0	54557
384	0	54511
385	0	54542
386	0	54499
387	0	54452
388	0	54380
389	0	54401
390	0	54379
391	0	54417
392	0	54387
393	0	54382
394	0	54432
395	0	54402
396	0	54394
397	0	54442
398	0	54357
399	0	54376
400	0	54323
401	0	54324
402	0	54360
403	0	54422
404	0	54437
405	0	54458
406	0	54433
407	0	54394
408	0	54453
409	0	54454
410	0	54367
411	0	54192
412	0	54249
413	0	54244
414	0	54332
415	0	54257
416	0	54231
417	0	54221
418	0	54306
419	0	54243
420	0	54220
421	0	54316
422	0	54170
423	0	54289
424	0	54392
425	0	54407
426	0	54477
427	0	54537
428	0	54566
429	0	54520
430	0	54549
431	0	54618
432	0	54643
433	0	54628
434	0	54633
435	0	54659
436	0	54687
437	19	54629
438	25	54712
439	29	54704
440	57	54752
441	63	54717
442	82	54677
443	123	54602
444	174	54581
445	203	54625
446	263	54606
447	356	54737
448	458	54719
449	593	54637
450	730	54572
451	938	54535
452	1168	54462
453	1366	54384
454	1722	54394
455	1994	54257
456	2360	54309
457	2741	54230
458	3113	54216
459	3480	54299
460	3864	54294
461	4306	54441
462	4689	54498
463	5107	54391
464	5517	54419
465	5911	54353
466	6234	54253
467	6571	54184
468	6837	54010
469	7061	54068
470	7268	54027
471	7332	54080
472	7469	54093
473	7405	54214
474	7431	54182
475	7402	54240
476	7471	54253
477	7477	54252
478	7535	54220
479	7462	54336
480	7479	54258
481	7461	54298
482	7367	54362
483	7496	54400
484	7477	54365
485	7492	54317
486	7413	54258
487	7274	54205
488	7263	54230
489	7125	54288
490	7002	54414
491	6812	54458
492	6602	54465
493	6401	54354
494	6122	54331
495	5876	54267
496	5606	54278
497	5226	54418
498	4910	54416
499	4614	54503
500	4251	54600
501	4011	54567
502	3667	54613
503	3359	54654
504	3065	54666
505	2778	54605
506	2421	54634
507	2164	54629
508	1919	54697
509	1663	54797
510	1419	54834
511	1234	54888
512	1030	54855
513	852	54869
514	718	54904
515	588	54953
516	503	54951
517	427	54963
518	370	55036
519	295	55022
520	244	54953
521	208	54938
522	176	54884
523	130	54917
524	93	54844
525	73	54819
526	60	54797
527	48	54796
528	32	54707
529	21	54692
530	18	54642
531	17	54612
532	11	54622
533	8	54630
534	5	54714
535	0	54729
536	0	54683
537	0	54693
538	0	54768
539	0	54691
540	0	54583
541	0	54624
542	0	54634
543	0	54692
544	0	54787
545	0	54666
546	0	54690
547	0	54677
548	0	54694
549	0	54668
550	0	54708
551	0	54691
552	0	54634
553	0	54583
554	0	54515
555	0	54550
556	0	54543
557	0	54552
558	0	54529
559	0	54628
560	0	54617
561	0	54638
562	0	54579
563	0	54568
564	0	54558
565	0	54421
566	0	54432
567	0	54366
568	0	54415
569	0	54400
570	0	54383
571	0	54403
572	0	54389
573	0	54371
574	0	54317
575	0	54418
576	0	54384
577	0	54368
578	0	54260
579	0	54239
580	0	54313
581	0	54361
582	0	54542
583	0	54532
584	0	54512
585	0	54552
586	0	54434
587	0	54448
588	0	54376
589	0	54437
590	0	54400
591	0	54393
592	0	54451
593	0	54509
594	0	54527
595	0	54572
596	0	54601
597	0	54660
598	0	54623
599	0	54715
600	0	54693
601	0	54686
602	0	54700
603	0	54737
604	0	54782
605	0	54740
606	0	54712
607	0	54662
608	0	54631
609	0	54636
610	0	54583
611	0	54537
612	0	54506
613	0	54479
614	0	54414
615	0	54399
616	0	54419
617	0	54471
618	0	54412
619	0	54361
620	0	54231
621	0	54183
622	0	54162
623	0	54315
624	0	54301
625	0	54252
626	0	54300
627	0	54327
628	0	54303
629	0	54233
630	0	54312
631	0	54301
632	0	54364
633	0	54349
634	0	54362
635	0	54340
636	0	54315
637	0	54327
638	0	54303
639	0	54335
640	0	54214
641	0	54161
642	0	54166
643	0	54157
644	0	54118
645	0	54056
646	0	54094
647	0	54022
648	0	54047
649	0	53989
650	0	53958
651	0	54018
652	0	54040
653	0	54132
654	0	54041
655	0	54086
656	0	54090
657	0	54078
658	0	54097
659	0	54110
660	0	54051
661	0	53975
662	0	54007
663	0	54019
664	0	53935
665	0	54067
666	0	54104
667	0	54159
668	0	54209
669	0	54149
670	0	54297
671	0	54353
672	0	54415
673	0	54452
674	0	54444
675	0	54484
676	0	54486
677	0	54431
678	0	54300
679	0	54476
680	0	54530
681	0	54470
682	0	54423
683	0	54355
684	0	54342
685	0	54333
686	0	54410
687	0	54444
688	0	54489
689	0	54473
690	0	54510
691	0	54406
692	0	54514
693	0	54447
694	0	54450
695	0	54401
696	0	54344
697	0	54378
698	0	54400
699	0	54306
700	0	54304
701	0	54369
702	0	54393
703	0	54406
704	0	54333
705	0	54334
706	0	54379
707	0	54467
708	0	54406
709	0	54359
710	0	54341
711	0	54453
712	0	54589
713	0	54550
714	0	54459
715	0	54511
716	0	54540
717	0	54463
718	0	54338
719	0	54429
720	0	54301
721	0	54107
722	0	54095
723	0	54079
724	0	54047
725	0	54145
726	0	54139
727	0	54206
728	0	54282
729	0	54357
730	0	54361
731	0	54315
732	0	54340
733	0	54315
734	0	54270
735	0	54236
736	0	54217
737	0	54231
738	0	54193
739	0	54252
740	0	54284
741	0	54315
742	0	54303
743	0	54302
744	0	54264
745	0	54382
746	0	54300
747	0	54340
748	0	54382
749	0	54294
750	0	54386
751	0	54366
752	0	54435
753	0	54438
754	0	54471
755	0	54313
756	0	54257
757	0	54315
758	0	54245
759	0	54291
760	0	54419
761	0	54542
762	0	54612
763	0	54645
764	0	54764
765	0	54612
766	0	54526
767	0	54544
768	0	54500
769	0	54528
770	0	54414
771	0	54402
772	0	54449
773	0	54415
774	0	54512
775	0	54405
776	0	54386
777	0	54359
778	0	54336
779	0	54325
780	0	54280
781	0	54308
782	0	54282
783	0	54279
784	0	54193
785	0	54294
786	0	54264
787	0	54160
788	0	54232
789	0	54204
790	0	54156
791	0	54118
792	0	54120
793	0	54117
794	0	54124
795	0	54268
796	0	54391
797	0	54463
798	0	54470
799	0	54504
800	0	54573
801	0	54599
802	0	54672
803	0	54713
804	12	54728
805	25	54703
806	29	54792
807	48	54660
808	58	54638
809	81	54657
810	118	54854
811	155	54859
812	199	54832
813	253	54761
814	311	54742
815	420	54698
816	523	54619
817	667	54688
818	835	54561
819	988	54547
820	1243	54545
821	1487	54353
822	1771	54212
823	2087	54263
824	2470	54246
825	2792	54123
826	3167	54158
827	3568	54097
828	3856	54185
829	4230	54228
830	4525	54254
831	4900	54205
832	5331	54222
833	5713	54233
834	5978	54189
835	6321	54230
836	6599	54224
837	6831	54184
838	7022	54273
839	7214	54294
840	7491	54394
841	7603	54400
842	7749	54430
843	7920	54532
844	7952	54567
845	8035	54540
846	8071	54630
847	8111	54522
848	8146	54511
849	7998	54510
850	7810	54475
851	7638	54395
852	7349	54410
853	7144	54375
854	6945	54343
855	6733	54259
856	6477	54308
857	6319	54396
858	5999	54385
859	5781	54514
860	5638	54522
861	5395	54484
862	5249	54438
863	5043	54404
864	4818	54381
865	4543	54374
866	4351	54333
867	4135	54322
868	3901	54365
869	3652	54525
870	3423	54479
871	3175	54504
872	2900	54402
873	2652	54405
874	2427	54454
875	2226	54481
876	2046	54495
877	1891	54512
878	1764	54510
879	1628	54452
880	1512	54473
881	1375	54375
882	1290	54391
883	1148	54336
884	1061	54211
885	987	54198
886	864	54136
887	734	54141
888	640	54198
889	548	54282
890	459	54269
891	386	54195
892	315	54221
893	251	54221
894	189	54259
895	163	54378
896	126	54398
897	86	54410
898	60	54451
899	42	54393
900	32	54406
901	23	54355
902	20	54490
903	20	54499
904	10	54652
905	7	54623
906	5	54585
907	3	54628
908	2	54574
909	2	54610
910	1	54531
911	1	54495
912	1	54452
913	1	54423
914	0	54432
915	0	54432
916	0	54528
917	0	54515
918	0	54399
919	0	54433
920	0	54480
921	0	54433
922	0	54414
923	0	54397
924	0	54396
925	0	54454
926	0	54406
927	0	54538
928	0	54534
929	0	54547
930	0	54661
931	0	54552
932	0	54462
933	0	54499
934	0	54454
935	0	54598
936	0	54495
937	0	54594
938	0	54662
939	0	54636
940	0	54536
941	0	54648
942	0	54768
943	0	54766
944	0	54837
945	0	54844
946	0	54915
947	0	54946
948	0	54899
949	0	54772
950	0	54706
951	0	54686
952	0	54645
953	0	54601
954	0	54665
955	0	54558
956	0	54553
957	0	54595
958	0	54527
959	0	54400
960	0	54464
961	0	54451
962	0	54427
963	0	54403
964	0	54386
965	0	54352
966	0	54384
967	0	54348
968	0	54397
969	0	54429
970	0	54408
971	0	54347
972	0	54290
973	0	54276
974	0	54250
975	0	54259
976	0	54227
977	0	54272
978	0	54242
979	0	54182
980	0	54260
981	0	54257
982	0	54256
983	0	54328
984	0	54348
985	0	54365
986	0	54390
987	0	54444
988	0	54472
989	0	54377
990	0	54482
991	0	54510
992	0	54471
993	0	54534
994	0	54488
995	0	54422
996	0	54429
997	0	54362
998	0	54395
999	0	54369
1000	0	54266
1001	0	54189
1002	0	54171
1003	0	54258
1004	0	54378
1005	0	54419
1006	0	54389
1007	0	54481
1008	0	54361
1009	0	54322
1010	0	54265
1011	0	54314
1012	0	54325
1013	0	54407
1014	0	54415
1015	0	54454
1016	0	54398
1017	0	54425
1018	0	54469
1019	0	54514
1020	0	54565
1021	0	54540
1022	0	54561
1023	0	54549
1024	0	54529
1025	0	54542
1026	0	54497
1027	0	54544
1028	0	54389
1029	0	54372
1030	0	54380
1031	0	54370
1032	0	54464
1033	0	54522
1034	0	54570
1035	0	54403
1036	0	54411
1037	0	54402
1038	0	54320
1039	0	54356
1040	0	54455
1041	0	54432
1042	0	54391
1043	0	54370
1044	0	54464
1045	0	54385
1046	0	54439
1047	0	54492
1048	0	54544
1049	0	54404
1050	0	54372
1051	0	54429
1052	0	54438
1053	0	54373
1054	0	54235
1055	0	54296
1056	0	54348
1057	0	54337
1058	0	54355
1059	0	54405
1060	0	54450
1061	0	54327
1062	0	54343
1063	0	54334
1064	0	54381
1065	0	54434
1066	0	54551
1067	0	54517
1068	0	54515
1069	0	54508
1070	0	54471
1071	0	54443
1072	0	54354
1073	0	54457
1074	0	54455
1075	0	54537
1076	0	54591
1077	0	54462
1078	0	54462
1079	0	54587
1080	0	54653
1081	0	54618
1082	0	54592
1083	0	54589
1084	0	54587
1085	0	54554
1086	0	54577
1087	0	54510
1088	0	54471
1089	0	54505
1090	0	54545
1091	0	54495
1092	0	54446
1093	0	54326
1094	0	54294
1095	0	54332
1096	0	54383
1097	0	54357
1098	0	54366
1099	0	54461
1100	0	54367
1101	0	54395
1102	0	54307
1103	0	54322
1104	0	54259
1105	0	54167
1106	0	54237
1107	0	54219
1108	0	54172
1109	0	54208
1110	0	54183
1111	0	54118
1112	0	54234
1113	0	54321
1114	0	54220
1115	0	54377
1116	0	54341
1117	0	54291
1118	0	54343
1119	0	54449
1120	0	54438
1121	0	54364
1122	0	54430
1123	0	54397
1124	0	54439
1125	0	54326
1126	0	54319
1127	0	54286
1128	0	54358
1129	0	54241
1130	0	54128
1131	0	54123
1132	0	54062
1133	0	54025
1134	0	54073
1135	0	54253
1136	0	54327
1137	0	54428
1138	0	54400
1139	0	54470
1140	0	54524
1141	0	54473
1142	0	54457
1143	0	54413
1144	0	54358
1145	0	54403
1146	0	54440
1147	0	54477
1148	0	54449
1149	0	54403
1150	0	54481
1151	0	54704
1152	0	54786
1153	0	54708
1154	0	54651
1155	0	54683
1156	0	54736
1157	0	54697
1158	0	54736
1159	16	54809
1160	25	54848
1161	33	54862
1162	50	54791
1163	64	54831
1164	85	54793
1165	121	54855
1166	161	54909
1167	232	54763
1168	301	54741
1169	366	54767
1170	483	54618
1171	612	54533
1172	766	54567
1173	939	54615
1174	1160	54492
1175	1411	54480
1176	1693	54412
1177	1957	54363
1178	2270	54408
1179	2565	54367
1180	2804	54403
1181	3199	54303
1182	3587	54293
1183	3961	54308
1184	4342	54232
1185	4698	54255
1186	4985	54289
1187	5186	54397
1188	5383	54380
1189	5574	54472
1190	5800	54383
1191	5956	54418
1192	6182	54500
1193	6357	54586
1194	6445	54719
1195	6586	54732
1196	6812	54657
1197	6920	54676
1198	7043	54592
1199	7237	54671
1200	7410	54619
1201	7518	54704
1202	7573	54662
1203	7600	54632
1204	7743	54613
1205	7743	54727
1206	7794	54760
1207	7792	54678
1208	7714	54647
1209	7668	54550
1210	7536	54598
1211	7351	54687
1212	7239	54641
1213	6956	54633
1214	6657	54669
1215	6476	54737
1216	6127	54679
1217	5870	54774
1218	5600	54659
1219	5255	54779
1220	5001	54611
1221	4719	54559
1222	4362	54543
1223	4043	54497
1224	3793	54499
1225	3476	54512
1226	3215	54533
1227	2971	54548
1228	2682	54501
1229	2443	54514
1230	2187	54547
1231	1959	54594
1232	1771	54644
1233	1596	54595
1234	1446	54580
1235	1259	54542
1236	1129	54562
1237	985	54515
1238	888	54562
1239	791	54594
1240	714	54600
1241	635	54641
1242	598	54562
1243	532	54590
1244	462	54628
1245	411	54667
1246	366	54714
1247	320	54639
1248	285	54658
1249	239	54678
1250	213	54733
1251	176	54704
1252	154	54636
1253	119	54605
1254	97	54510
1255	75	54510
1256	59	54398
1257	42	54477
1258	31	54455
1259	28	54403
1260	16	54444
1261	12	54351
1262	8	54319
1263	3	54359
1264	2	54352
1265	3	54312
1266	2	54303
1267	2	54365
1268	2	54448
1269	1	54390
1270	0	54304
1271	0	54354
1272	0	54289
1273	0	54403
1274	0	54354
1275	0	54345
1276	0	54279
1277	0	54214
1278	0	54229
1279	0	54225
1280	0	54096
1281	0	54087
1282	0	54128
1283	0	54197
1284	0	54289
1285	0	54244
1286	0	54198
1287	0	54153
1288	0	54238
1289	0	54149
1290	0	54215
1291	0	54168
1292	0	54147
1293	0	54153
1294	0	54231
1295	0	54318
1296	0	54291
1297	0	54213
1298	0	54122
1299	0	54160
1300	0	54322
1301	0	54361
1302	0	54315
1303	0	54239
1304	0	54079
1305	0	54124
1306	0	54232
1307	0	54384
1308	0	54349
1309	0	54433
1310	0	54410
1311	0	54298
1312	0	54273
1313	0	54301
1314	0	54407
1315	0	54446
1316	0	54497
1317	0	54502
1318	0	54495
1319	0	54349
1320	0	54361
1321	0	54394
1322	0	54375
1323	0	54297
1324	0	54245
1325	0	54153
1326	0	54099
1327	0	54157
1328	0	54142
1329	0	54147
1330	0	54208
1331	0	54238
1332	0	54171
1333	0	54260
1334	0	54218
1335	0	54172
1336	0	54192
1337	0	54230
1338	0	54240
1339	0	54190
1340	0	54188
1341	0	54219
1342	0	54314
1343	0	54384
1344	0	54469
1345	0	54451
1346	0	54513
1347	0	54532
1348	0	54528
1349	0	54515
1350	0	54562
1351	0	54510
1352	0	54460
1353	0	54463
1354	0	54501
1355	0	54460
1356	0	54483
1357	0	54551
1358	0	54564
1359	0	54587
1360	0	54511
1361	0	54542
1362	0	54569
1363	0	54522
1364	0	54457
1365	0	54465
1366	0	54509
1367	0	54532
1368	0	54495
1369	0	54579
1370	0	54581
1371	0	54490
1372	0	54504
1373	0	54487
1374	0	54458
1375	0	54367
1376	0	54381
1377	0	54329
1378	0	54279
1379	0	54320
1380	0	54301
1381	0	54250
1382	0	54151
1383	0	54269
1384	0	54317
1385	0	54341
1386	0	54349
1387	0	54363
1388	0	54365
1389	0	54336
1390	0	54382
1391	0	54395
1392	0	54326
1393	0	54245
1394	0	54224
1395	0	54226
1396	0	54112
1397	0	54081
1398	0	53976
1399	0	54013
1400	0	53978
1401	0	54012
1402	0	54019
1403	0	54022
1404	0	54149
1405	0	54127
1406	0	54197
1407	0	54349
1408	0	54305
1409	0	54318
1410	0	54313
1411	0	54340
1412	0	54286
1413	0	54354
1414	0	54412
1415	0	54485
1416	0	54571
1417	0	54639
1418	0	54504
1419	0	54543
1420	0	54621
1421	0	54628
1422	0	54550
1423	0	54566
1424	0	54619
1425	0	54619
1426	0	54608
1427	0	54631
1428	0	54750
1429	0	54783
1430	0	54782
1431	0	54604
1432	0	54529
1433	0	54545
1434	0	54585
1435	0	54586
1436	0	54553
1437	0	54630
1438	0	54628
1439	0	54648
1440	0	54594
1441	0	54446
1442	0	54464
1443	0	54507
1444	0	54519
1445	0	54560
1446	0	54576
1447	0	54478
1448	0	54529
1449	0	54473
1450	0	54488
1451	0	54502
1452	0	54474
1453	0	54509
1454	0	54517
1455	0	54709
1456	0	54770
1457	0	54736
1458	0	54665
1459	0	54664
1460	0	54605
1461	0	54492
1462	0	54565
1463	0	54616
1464	0	54666
1465	0	54627
1466	0	54617
1467	0	54595
1468	0	54548
1469	0	54470
1470	0	54496
1471	0	54474
1472	0	54456
1473	0	54473
1474	0	54335
1475	0	54278
1476	0	54457
1477	0	54468
1478	0	54355
1479	0	54242
1480	0	54339
1481	0	54338
1482	0	54386
1483	0	54386
1484	0	54281
1485	0	54207
1486	0	54207
1487	0	54190
1488	0	54085
1489	0	54087
1490	0	54047
1491	0	54054
1492	0	54056
1493	0	54122
1494	0	54065
1495	0	53999
1496	0	53993
1497	0	54142
1498	0	54164
1499	0	54157
1500	0	54244
1501	0	54263
1502	0	54316
1503	0	54396
1504	0	54467
1505	0	54455
1506	0	54413
1507	0	54555
1508	0	54535
1509	0	54526
1510	0	54585
1511	0	54512
1512	0	54624
1513	0	54638
1514	0	54595
1515	0	54565
1516	0	54503
1517	0	54417
1518	0	54458
1519	0	54580
1520	0	54706
1521	0	54767
1522	0	54848
1523	0	54730
1524	0	54606
1525	0	54419
1526	0	54331
1527	0	54263
1528	0	54252
1529	0	54210
1530	0	54183
1531	0	54212
1532	0	54203
1533	0	54198
1534	0	54271
1535	0	54285
1536	0	54279
1537	0	54229
1538	0	54311
1539	7	54205
1540	25	54168
1541	28	54204
1542	38	54231
1543	52	54302
1544	59	54325
1545	87	54331
1546	110	54343
1547	154	54430
1548	195	54408
1549	257	54439
1550	351	54508
1551	441	54536
1552	554	54621
1553	698	54623
1554	850	54716
1555	1032	54700
1556	1234	54737
1557	1487	54772
1558	1721	54744
1559	2033	54696
1560	2291	54657
1561	2586	54685
1562	2997	54680
1563	3381	54745
1564	3747	54864
1565	4150	54806
1566	4547	54823
1567	4852	54756
1568	5212	54738
1569	5559	54766
1570	5887	54701
1571	6321	54542
1572	6672	54436
1573	7070	54458
1574	7505	54359
1575	7805	54497
1576	8220	54439
1577	8529	54375
1578	8709	54341
1579	8961	54301
1580	8998	54374
1581	9095	54448
1582	9051	54385
1583	9001	54361
1584	8797	54412
1585	8701	54290
1586	8542	54325
1587	8325	54292
1588	8139	54231
1589	7934	54376
1590	7695	54300
1591	7591	54231
1592	7269	54241
1593	7057	54284
1594	6746	54199
1595	6400	54200
1596	6045	54284
1597	5718	54301
1598	5508	54263
1599	5092	54313
1600	4795	54310
1601	4466	54278
1602	4130	54315
1603	3783	54376
1604	3466	54346
1605	3157	54350
1606	2850	54383
1607	2594	54402
1608	2331	54511
1609	2052	54608
1610	1851	54622
1611	1635	54660
1612	1424	54656
1613	1209	54634
1614	1080	54621
1615	902	54592
1616	755	54462
1617	621	54479
1618	501	54470
1619	414	54517
1620	326	54499
1621	249	54535
1622	181	54476
1623	135	54538
1624	90	54619
1625	71	54556
1626	54	54560
1627	43	54489
1628	31	54409
1629	21	54460
1630	15	54530
1631	10	54563
1632	9	54607
1633	5	54586
1634	3	54577
1635	3	54555
1636	3	54539
1637	2	54593
1638	2	54617
1639	0	54610
1640	0	54544
1641	0	54449
1642	0	54416
1643	0	54368
1644	0	54448
1645	0	54441
1646	0	54422
1647	0	54360
1648	0	54334
1649	0	54346
1650	0	54309
1651	0	54281
1652	0	54252
1653	0	54364
1654	0	54479
1655	0	54557
1656	0	54668
1657	0	54618
1658	0	54585
1659	0	54613
1660	0	54700
1661	0	54821
1662	0	54888
1663	0	55005
1664	0	54838
1665	0	54606
1666	0	54669
1667	0	54666
1668	0	54582
1669	0	54519
1670	0	54455
1671	0	54449
1672	0	54258
1673	0	54284
1674	0	54255
1675	0	54332
1676	0	54357
1677	0	54304
1678	0	54222
1679	0	54122
1680	0	54154
1681	0	54316
1682	0	54214
1683	0	54202
1684	0	54193
1685	0	54268
1686	0	54326
1687	0	54386
1688	0	54441
1689	0	54465
1690	0	54486
1691	0	54379
1692	0	54446
1693	0	54486
1694	0	54515
1695	0	54443
1696	0	54439
1697	0	54379
1698	0	54476
1699	0	54465
1700	0	54569
1701	0	54482
1702	0	54536
1703	0	54484
1704	0	54463
1705	0	54483
1706	0	54441
1707	0	54480
1708	0	54420
1709	0	54341
1710	0	54365
1711	0	54386
1712	0	54391
1713	0	54559
1714	0	54578
1715	0	54613
1716	0	54600
1717	0	54510
1718	0	54503
1719	0	54445
1720	0	54362
1721	0	54371
1722	0	54402
1723	0	54392
1724	0	54364
1725	0	54506
1726	0	54499
1727	0	54563
1728	0	54528
1729	0	54479
1730	0	54544
1731	0	54499
1732	0	54506
1733	0	54476
1734	0	54444
1735	0	54340
1736	0	54343
1737	0	54440
1738	0	54375
1739	0	54269
1740	0	54241
1741	0	54170
1742	0	54228
1743	0	54292
1744	0	54274
1745	0	54189
1746	0	54028
1747	0	54090
1748	0	54094
1749	0	54066
1750	0	54068
1751	0	54070
1752	0	54078
1753	0	54113
1754	0	54176
1755	0	54200
1756	0	54189
1757	0	54102
1758	0	54124
1759	0	54128
1760	0	54192
1761	0	54284
1762	0	54319
1763	0	54347
1764	0	54414
1765	0	54414
1766	0	54363
1767	0	54363
1768	0	54408
1769	0	54479
1770	0	54505
1771	0	54468
1772	0	54469
1773	0	54453
1774	0	54540
1775	0	54510
1776	0	54364
1777	0	54278
1778	0	54326
1779	0	54334
1780	0	54386
1781	0	54364
1782	0	54339
1783	0	54282
1784	0	54322
1785	0	54393
1786	0	54421
1787	0	54436
1788	0	54456
1789	0	54489
1790	0	54371
1791	0	54342
1792	0	54354
1793	0	54330
1794	0	54314
1795	0	54416
1796	0	54446
1797	0	54594
1798	0	54620
1799	0	54613
1800	0	54608
1801	0	54559
1802	0	54552
1803	0	54588
1804	0	54594
1805	0	54571
1806	0	54753
1807	0	54803
1808	0	54630
1809	0	54688
1810	0	54774
1811	0	54865
1812	0	54760
1813	0	54690
1814	0	54681
1815	0	54747
1816	0	54665
1817	0	54754
1818	0	54716
1819	0	54710
1820	0	54786
1821	0	54808
1822	0	54807
1823	0	54820
1824	0	54769
